"OCLC #", "Title", "Author", "Language", "Item type", "Publication", "Publisher", "Database", "Notes", "Added date"
"723095903","The scripture-Doctrine of the Trinity : In three parts. Wherein all the texts in the New Testament relating to that doctrine, and the principal Passages in the Liturgy of the Church of England, are collected, compared, and explained. By Samuel Clarke, D.D. Rector of St. James's Westminster ; and Chaplain in Ordinary to Her Majesty.","Samuel Clarke","English","book_digital","","London : Printed for James Knapton, at the Crown in St. Paul's Church-Yard, 1712.","","","2017-05-18 10:29"
"84752220","The scripture-doctrine of the Trinity : Wherein every text in the New Testament relating to that doctrine, is distinctly considered ; ... By Samuel Clarke ...","Samuel Clarke","English","book_mic","","London : Printed by W. Botham, for James and John Knapton, 1732.","","","2017-05-18 10:29"
"723185449","The scripture-Doctrine of the Trinity : Wherein every text in the New Testament relating to that doctrine, is distinctly considered ; and the Divinity of our Blessed Saviour according to the Scriptures, proved and explained. By Samuel Clarke, D.D. Rector of St. James's Westminster.","Samuel Clarke","English","book_digital","","London : Printed by W. Wilkins, for James Knapton, at the Crown in St. Paul's Church-Yard, 1719.","","","2017-05-18 10:28"
"316753017","The Jewish spy: being a philosophical, historical and critical correspondence, by letters which lately pass'd between certain Jews in Turkey, Italy, France, &c. Translated from the originals into French, by the Marquis d'Argens; and now done into English.","Jean-Baptiste de Boyer Argens, marquis d'","English","book_printbook","","London : Printed for D. Browne; and R. Hett, 1739-40.","","","2017-05-11 16:45"
"221801333","The Jewish spy : being a philosophical, historical, and critical correspondence, by letters which passed between certain Jews in Turkey, Italy, France, Ec","Jean-Baptiste de Boyer Argens, marquis d'","English","book_printbook","","London : Printed for A. Miller, 1765-1766.","","","2017-05-11 16:44"
"85227179","Hexapla in Genesin & Exodum: that is, A sixfold commentary upon the tvvo first bookes of Moses, being Genesis and Exodus : VVherein these translations are compared together: 1. The Chalde. 2. The Septuagint. 3. The vulgar Latine. 4. Pagnine. 5. Montanus. 6. Iunius. 7. Vatablus. 8. The great English Bible. 9. The Geneva edition. And 10. The Hebrew originall. Together with a sixfold use of every chapter, shewing 1. The method or argument: 2. The divers readings: 3. The explanation of difficult questions and doubtfull places: 4. The places of doctrine: 5. Places of confutation: 6. Morall observations. In which worke, about three thousand theologicall questions are discussed: above forty authors old and new abridged: and together comprised whatsoever worthy of note, either Mercerus out of the Rabbines, Pererius out of the Fathers, or Marlorat out of the new writers, have in their learned commentaries collected. Now the fourth time imprinted, with the authors corrections before his death. By Andrew VVillet, minister of the Gospell of Iesus Christ.","Andrew Willet","English","book_printbook","","London : Printed by Iohn Haviland, and are sold by Iohn Grismond at the signe of the Gun in Ivie lane, 1633.","","","2017-05-11 16:40"
"316362366","A new history of the Holy Bible : from the beginning of the world, to the establishment of Christianity. ... The whole illustrated with proper maps and sculptures. By the Reverend Thomas Stackhouse ...","Thomas Stackhouse","English","book_printbook","","London : Printed for Stephen Austen, 1742-44.","","","2017-05-11 16:34"
"222738636","A new history of the Holy Bible : from the beginning of the world, to the establishment of Christianity. With answers to most of the controverted questions, dissertations upon the most remarkable passages, and a connection of profane history all along. To which are added, notes, explaining difficult texts, rectifying mis-translations, and reconciling seeming contradictions ...","Thomas Stackhouse; J Huggonson","English","book_printbook","","London : Printed at J. Huggonson's, 1733.","","","2017-05-11 16:34"
"606855053","The snake in the grass: or, Satan transform'd into an angel of light : Discovering the deep and unsuspected subtilty which is couched under the pretended simplicity of many of the principal leaders of those people call'd Quakers.","Charles Leslie","English","book_digital","","London : Printed for Charles Brome, at the Gun at the west end of St. Paul's, 1696.","","","2017-05-11 16:32"
"931254284","The snake in the grass, or, Satan transform'd into an angel of light : discovering the deep and unsuspected subtilty which is couched under the pretended simplicity, of many of the principal leaders of those people call'd Quakers.","Charles Leslie","English","book_printbook","","London : Printed for Charles Brome, at the Gun at the west-end of St. Paul's, 1697.","","","2017-05-11 16:31"
