OCLC,Title,Author,Language,Item_type,Publication,Publisher,Database,Notes,Date_Added
"310949234","Specimen vniversae rei nvmmariae antiqvae","André Morelli; Ezechiel Spanheim","Latin","book_printbook","","Lipsiae : Apud J. Thomam Fritsch, 1695.","","","2017-05-15 12:46"
"5911616","Johannis Wolfii Lectiones memorabiles et reconditae. Liber rarus, carg, ex sacrae scripturae & venerandae antiqvitatis arcanis exaratus ...","Johann Wolf; Johann Jacob Linsius","Latin","book_printbook","","Francofvrti ad Moenum, sumptibus Haered. Henningi Grosii, 1671.","","","2017-05-15 12:45"
"715973735","Rudimenta linguae arabicae","Thomas van Erpe, dit Erpenius.","Latin","book_printbook","","Lugduni Bat., 1733.","","","2017-05-15 12:42"
"898901530","Thomæ Erpenii Rvdimenta lingvæ Arabicæ : accedunt ejusdem Praxis grammatica; & consilium de studio Arabico feliciter instituendo.","Thomas Erpenius; Guilelmus Coddaeus","Latin","book_printbook","","Leidae : Ex Typographia Avctoris, 1620.","","","2017-05-15 12:40"
"7480591","Arabicæ lingvæ tyrocinium. Id est,","Thomas Erpenius; Luqmān.; Jacobus Golius","Arabic","book_printbook","","Lvgdvni Batavorvm, typis & impensis I. Maire, 1656.","","","2017-05-15 12:38"
"11061750","Thomae Erpenii Grammatica arabica","Thomas Erpenius","Latin","book_printbook","","Amstelodami : Typis Ioannis Iansonii, 1636.","","","2017-05-15 12:37"
"433358031","Grammatica arabica","Thomas Erpenius","Latin","book_printbook","","Leidae In Off. Raphelengiana 1613.","","","2017-05-15 12:35"
"863430392","[Tūrāt Mūsā al-Nabī 'alayh-i al-salām] = id est Pentateuchus Mosis Arabicè.","Thomas Erpenius; Joannes Maire;","Arabic","book_printbook","","Lugduni Batavorum : Ex typographia Erpeniana linguarum Orientalium. Prostant apud Iohannem Maire., 1622.","","","2017-05-15 12:34"
"931906905","Torah neviʼim u-k̲etuvim = Biblia Hebraica, secundum ultimam editionem Jos. Athiae","Joseph Athias; Johannes Leusden; Everhardus van der Hooght; Boom, Hendrick (Amsterdam); Janssonius van Waesberge, Johannes (II, Amsterdam); Borstius, Gerardus (I, Amsterdam); Wolters, Joannes (Amsterdam); Halma, François (Amsterdam); Water, Willem van de (I, Utrecht); Broedelet, Willem (Utrecht); Societas (Amsterdam);","Hebrew","book_digital","","Amstelaedami et Ultrajecti : ediderunt Boom, Waesberge, Goethals, Borstius, Wolters, Halma, van de Water et Broedelet, 1705.","","","2017-05-15 12:33"
"832175026","Johannis Buxtorfi[i], Fil. S. Theol. Doct. & Profess. Florilegium Hebraicum : Continens Elegantes Sententias, Proverbia, Apophthegmata, Similitudines: Ex Optimis Quibusque, maxime vero Priscis,Hebræorum scriptoribus, collectum, & secundum Locos Communes ordine Alphabetico dispositum","Johann Buxtorf","Latin","book_printbook","","Basileae König 1648","","","2017-05-15 12:23"
