OCLC,Title,Author,Language,Item_type,Publication,Publisher,Database,Notes,Date_Added
"15202175","La Bible enfin expliquée","Voltaire","French","book_printbook","","A Londres, [i.e. Geneva? : s.n.], MDCCLXXVII. [1777]","","","2017-05-14 12:29"
"57259500","Life of Ezra Stiles.","Abiel Holmes","English","book_printbook","","Boston : [publisher not identified], 1798.","","","2017-05-02 17:09"
"10801337","Aristotelis opera omnia quae extant, Graecè & Latiné. Veterum ac recensiorum interpretum,","Aristotle.; Guillaume Duval; Adrien Turnèbe; Isaac Casaubon; Giulio Pace","Greek, Ancient [to 1453]","book_printbook","","Lutetiae Parisiorum, Typis regiis, 1629.","","","2017-05-02 17:08"
"427375179","Hermanni Witsii Aegyptiaca, et dekaphylon : Sive, De aegyptiacorum sacrorum cum habraicis collatione libri tres. Et de decem tribubus Israelis liber singularis. Accesit Diatribe de legione fulminatrice Christianorum, sub imperatore Marco Aurelio Antonino.","Herman Witsius","Latin","book_printbook","","Amstelodami [Amsterdam] : Excudit Gerardus Borstius, 1696.","","","2017-05-02 17:02"
"931427042","Un chrétien contre six juifs.","Voltaire","English","book_mic","","Londres [i.e. Amsterdam], 1777.","","","2017-05-02 17:00"
"899050599","Lettres de quelques Juifs portugais, allemands et polonois, a M. de Voltaire. : Avec un petit commentaire extrait d'un plus grand.","Antoine Guénée","French","book_printbook","","A Paris : chez Moutard ..., 1776.","","","2017-05-02 16:59"
"976612759","A comparison of the institutions of Moses with those of the Hindoos and other ancient nations : with remarks on Mr. Dupuis's Origin of all religions, the laws and institutions of Moses methodized, and an address to the Jews on the present state of the world and the prophecies relating to it.","Joseph Priestley; Augustus Henry Fitzroy Grafton, Duke of","English","book_mic","","Northumberland [Pa.]: : Printed for the author by A. Kennedy., MDCCXCIX. [1799]","","","2017-05-02 16:56"
"402193005","Roberti Bellarmini Politiani, societatis Jesu, S.R.E. Cardinalis, Institutiones linguae Hebraïcae, postremo recognitae, ac locupletatae.","Robert Bellarmin, saint; Couvent des Carmes déchaussés (Lyon)","Latin","book_printbook","","S.L. : s.n., 1619","","","2017-05-02 16:55"
"10933032","A complete concordance to the Holy Scriptures of the Old and New Testament: or, A dictionary and alphabetical index to the Bible ... To which is added, A concordance to the books called Apocrypha. The whole digested ...","Alexander Cruden","English","book_printbook","","London, Printed for W. Owen 1794.","","","2017-05-02 16:54"
"60652717","Selectæ e Veteri Testamento historiæ : ad usum eorum qui Latinæ linguae rudimentis imbuuntur.","","Latin","book_printbook","","Parisiis : Apud Fratres Estienne, via Jacobæâ ..., MDCCLXXVII [1777]","","","2017-05-02 16:38"
"319154241","The sacred classics defended and illustrated : or, an essay humbly offer'd towards proving the purity, propriety, and true eloquence of the writers of the New Testament","Anthony Blackwall","English","book_printbook","","London : C. Rivington, 1727-32.","","","2017-05-02 15:20"
"614913613","A large and complete concordance to the bible in English, according to the last translation. : First collected by Clement Cotton, and now much enlarged and amended for the good both of schollers and others: far exceeding the most perfect that was ever extant in our language, both in ground-work and building","Samuel Newman; Clement Cotton; Thomas Downes; Daniel Featley; William Gouge; James Young","English","book_printbook","","London. : Printed for Thomas Downes and James Young, Anno Dom. M. DC. XLIII [i.e. 1643]","","","2017-05-02 15:19"
"11458048","Magnalia Christi Americana: or, The ecclesiastical history of New-England, from its first planting in the year 1620. unto the year of Our Lord, 1698. : In seven books ...","Cotton Mather; Thomas Parkhurst; William Gwinn Mather","English","book_printbook","","London: : Printed for Thomas Parkhurst, at the Bible and Three Crowns in Cheapside, MDCCII. [1702]","","","2017-05-02 15:17"
"18060187","The Scripture lexicon, or, a dictionary of above three thousand proper names of persons and places, mentioned in the Bible : with the description of the greater part of them divided into syllables ...","","English","book_printbook","","Birmingham : Printed by Piercy and Jones, 1784.","","","2017-05-02 15:15"
"48269572","Sacred poetry : consisting of psalms and hymns, adapted to Christian devotion in public and private ; selected from the best authors, with variations and additions.","Jeremy Belknap; John Clarke; Making of America Project.","English","book_printbook","","Boston : Wells, 1820, ©1812.","","","2017-05-02 15:13"
"614529751","A new translation of Isaiah.","Michael Dodson; Robert Lowth","English","book_printbook","","London : SPCK, Sold by J. Johnson, No. 72, St. Paul's Church Yard. M. DCC. XC) 1790","","","2017-05-02 15:11"
"425979006","Sacred poetry : consisting of psalms and hymns, adapted to Christian devotion, in public and private.","Jeremy Belknap; Jedidiah Morse; John Clarke;","English","book_printbook","","Printed at Boston : For Thomas & Andrews and D. West, (proprietors of the work.) Sold by them at their respective bookstores, and by the several booksellers in town and country--May, 1804. J.T. Buckingham, printer., [1804]","","","2017-05-02 15:09"
"55740947","Histoire des Juifs : écrite par Flavius Joseph, sous le titre de Antiquitez judaïques, traduite sur l'original grec reveu sur divers manuscrits","Flavius Josephus; Robert Arnauld d'Andilly; John Adams; John Adams Library (Boston Public Library)","French","book_printbook","","Paris : Chez Pierre Le Petit, 1667.","","","2017-05-02 15:05"
