"OCLC #", "Title", "Author", "Language", "Item type", "Publication", "Publisher", "Database", "Notes", "Added date"
"936405710","A large and complete concordance to the Bible in English : according to the last translation ...","Samuel Newman","English","book_printbook","","London : Printed for Thomas Downes and Andrew Crook, 1650.","","","2017-05-14 19:04"
"745196351","The holy Bible, containing the Old and New Testaments: Newly Translated out of the Original Tongues: And with the former Translations Diligently Compared and Revised, By His Majesty's Special Command. Appointed to be Read in Churches.","","English","book_digital","","Oxford : Printed by Thomas Baskett, Printer to the University, MDCCLIV. [1754]","","","2017-05-14 19:04"
"225202843","Philonis Iudaei opera omnia : Graece et Latine","Philo, of Alexandria.; Thomas Mangey; August Friedrich Pfeiffer","Latin","book_printbook","","Erlangae : Sumtu Wolfgangi Waltheri, MDCCLXXXV - MDCCXXXXII (1785-1792)","","","2017-05-13 20:56"
"316838288","Hē Kainē Diathēkē = Novum Testamentum","John Mill; Caleb Alexander;","Greek, Ancient [to 1453]","book_printbook","","Wigorniae [Worcester] Massachusettensi : Excudebat Isaias Thomas, Jun., singulatim et numerose eo vendita officinae suae, April 1800.","","","2017-05-13 20:50"
"932903875","Tachy-graphy. The most exact and compendious methode of short and swift writing that hath ever yet been published by any. Composed by Thomas Shelton author and professour of the said art. Approved by both universities.","Thomas Shelton","English","book_mic","","[London] : Printed at London by R[ichard]C[otes] for Samuel Cartwright, and are to be sold at the hand and Bible in Duck-lane, 1646.","","","2017-05-13 20:49"
"731550612","Psalmorum Davidis paraphrasis poetica. Auctore Arturo Jonstono Scoto. Cum indice vocabulorum. The psalms of David according to the translation in the English Bible. With An Index of the Words","Arthur Johnston;","English","book_digital","","London : [Verlag nicht ermittelbar], Printed in the Year MDCCXL. [1740]","","","2017-05-13 20:47"
"976972013","[Hē Kainē Diathēkē] = Novum Testamentum : cum lectionibus variantibus : MSS exemplarium, versionum, editionum, SS. patrum & scriptorum ecclesiasticorum : & in easdem notis : accedunt loca Scripturæ parallela, aliaque [exēgētika], & appendix ad variantes lectiones : praemittitur dissertatio, in qua de libris N.T. & canonis constitutione agitur : historia S. Textus N. Fœderis ad nostra usque tempora deducitur : et quid in hac editione præstitum sit, explicatur","John Mill; Michael Burghers;","Greek, Ancient [to 1453]","book_printbook","","Oxonii : E Theatro Sheldoniano, 1707.","","","2017-05-13 20:44"
"20449971","The Holy Bible : containing the Old and New Testaments: together with the Apocrypha ; translated out of the original tongues: and with the former translations, diligently compared and revised.","","English","book_printbook","","Philadelphia : Printed for John Thompson & Abraham Small, from the Hot-press of John Thompson, 1798.","","","2017-05-13 20:42"
"892055492","La Bible : qui est toute la Saincte Escriture du Vieil et du Nouveau Testament, autrement l'ancienne et la nouvelle alliance : le tout reveu [sic] & conferé sur les textes Hebreux & Grecs : avec les Pseaumes de David, mis en rime Françoise","Thomas Jefferson; Thomas Jefferson Library Collection (Library of Congress);","French","book_printbook","","À Londres : Imprimé par R. Everingham, & se vend chez R. Benteley ... et chez J. Hindmarsh ..., MDCLXXXVII [1687]","","","2017-05-13 20:41"
"224049987","Testamenti Veteris Biblia sacra, sive, Libri canonici ...","Immanuel Tremellius; Franciscus Junius; Christopher Barker; Henry Middleton;","Latin","book_printbook","","Londini : Excudebat Henricus Middletonus, impensis C.B. [i.e. Christopher Barker], 1581.","","","2017-05-13 20:40"
