"OCLC #", "Title", "Author", "Language", "Item type", "Publication", "Publisher", "Database", "Notes", "Added date"
"833944830","A course of lectures on the principal subjects in pneumatology : ethics, and divinity: with references to the most considerable authors on each subject. By the late Rev. Philip Doddridge, D.D. The fourth edition. To which are added, a great number of references ... By Andrew Kippis, ..","Philip Doddridge","English","book_mic","","London printed for G.G. and J. Robinson; R. Baldwin; C. Dilly; W.J. and J. Richardson; F. and C. Rivington; [and 12 others in London] 1799","","","2017-07-28 16:14"
"61334805","Davids learning, or the way to true happinesse : in a commentarie vpon the XXXII. Psalme. Preached and now published by T. Taylor, late fellow of Christs Colledge in Cambridge. To which is prefixed the table of method of the whole Psalme, and annexed an alphabeticall table of the chiefe matters in the commentarie.","Thomas Taylor","English","book_mic","","London : Printed by W. Stansby, for Henry Fetherstone, and are to be sold at his shop in Pauls church-yard, at the signe of the rose, 1618.","","","2017-07-24 15:40"
"614740300","A learned and very usefull commentary upon the whole prophesie of Malachy.","Richard Stock; Samuel Torshell","English","book_printbook","","London : Enderbey, 1641","","","2017-07-24 15:37"
"642236247","Corrections of various passages in the English version of the Old Testament ; upon the authority of ancient Mss. and ancient versions. By the late W.H. Roberts, D.D. Provost of Eton College. Published by his son W. Roberts, M.A. Fellow of Eton College.","W  H Roberts","English","book_digital","","London : Printed by J. Nichols ; For T. Cadell, in the Strand, MDCCXCIV. [1794]","","","2017-07-24 15:23"
"642295852","A critical dissertation on the Book of Job : wherein the account given of that book by the author of The divine legation of Moses demonstrated, &c. is particularly considered ; the Antiquity of the Book vindicated ; the Great Text (chap. xix. 25- ) explained ; and a Future State shewn to have been the Popular Belief of the ancient Jews or Hebrews. By Charles Peters, A.M. Rector of St. Mabyn, Cornwall.","Charles Peters","English","book_digital","","London : Printed for W. Johnston, in St. Paul's Church-Yard ; And P. Davey and B. Law, in Ave-Mary-Lane, MDCCLVII. [1757]","","","2017-07-19 11:41"
"228726764","A paraphrase upon the books of Ecclesiastes and the Song of Solomon. With arguments to each chapter, and annotations thereupon. By Symon Patrick D.D. Dean of Peterburgh, and one of His Majesties chaplains in ordinary.","Simon Patrick; Robert White","English","book_printbook","","London : printed for Rich. Royston, bookseller to the Kings most sacred Majesty, MDCLXXXV. [1685]","","","2017-07-19 11:11"
"228731613","The book of Psalms paraphras'd; with arguments to each Psalm. By the Right Reverend Father in God Symon Lord Bishop of Ely. Part 1.","Simon Patrick; Robert White; Bridgewater House Library,","English","book_printbook","","London : printed by J.H. for L. Meredith, at the Star in S. Paul's Church-Yard, MDCC. [1700]","","","2017-07-19 11:09"
"929229125","A commentary upon the historical books of the Old Testament viz. Genesis. ... Esther. In two volumes. By ... Dr Symon Patrick, late Lord Bishop of Ely.","Simon Patrick;","English","book_digital","","London : Printed for James and John Knapton, Daniel Midwinter and Aaron Ward, Arthur Bettesworth and Charles Hitch, Francis Fayram and Timothy Hatchett, John Osborn and Thomas Longman [and 5 others in London], 1732.","","","2017-07-18 13:31"
"228722103","A commentary upon all the prophets both great and small: wherein the divers translations and expositions both literal and mystical of all the most famous commentators both ancient and modern are propounded, examined and censured, for the singular benefit of all that be studious of the Holy Scriptures. By John Mayer Doctor of Divinity.","John Mayer","English","book_printbook","","London : printed by Abraham Miller and Ellen Cotes, 1652.","","","2017-07-18 12:42"
"833878297","A commentary upon the prophet Ezekiel. By William Lowth ...","William Lowth","English","book_mic","","London printed for W. Mears 1723.","","","2017-07-18 12:35"
